assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
0,1,60039,0,,Roy Hodgson,Fulham,6,2,21,14,2,5,5,26,Sunday 9 May 2010,10,13,13,9,0,1,4,"Andrey Arshavin (21),Robin van Persie (26),Chris Baird (37 OG),Carlos Vela (84)",Arsène Wenger,Arsenal,4,6,0,0,0,0,Michael Jones,4-0,3,0,2009-2010,1,6,1,6,14,23,2,12,Emirates Stadium,2,2
0,0,41799,1,Richard Dunne (84 OG),Sam Allardyce,Blackburn,4,3,48,28,5,11,5,22,Sunday 9 May 2010,13,14,14,11,0,0,0,,Martin O'Neill,Aston Villa,3,1,0,0,0,0,Steve Bennett,0-1,8,1,2009-2010,7,6,1,9,18,25,8,15,Villa Park,1,2
0,2,22863,1,James McFadden (76),Alex McLeish,Birmingham,2,1,23,46,6,3,17,28,Sunday 9 May 2010,17,19,17,15,3,1,2,"Kevin Davies (33),Ivan Klasnic (60)",Owen Coyle,Bolton,3,3,1,0,0,0,Kevin Friend,2-1,4,6,2009-2010,6,7,7,6,27,20,13,13,Macron Stadium,5,2
2,4,21161,2,"Gareth Bale (3),Luka Modric (32)",Harry Redknapp,Spurs,3,7,26,42,6,5,23,19,Sunday 9 May 2010,11,12,10,11,2,2,4,"Wade Elliott (42),Jack Cork (54),Martin Paterson (71),Steven Thompson (88)",Brian Laws,Burnley,2,1,0,0,0,0,Mike Dean,4-2,3,4,2009-2010,3,6,6,7,38,20,9,13,Turf Moor,0,0
0,5,41383,0,,Roberto Martinez,Wigan,2,1,18,13,3,2,8,19,Sunday 9 May 2010,10,14,14,7,0,0,8,"Nicolas Anelka (6, 56),Frank Lampard (32 Pen),Salomon Kalou (54),Didier Drogba (63, 68 Pen, 80),Ashley Cole (90)",Carlo Ancelotti,Chelsea,3,5,0,2,1,0,Martin Atkinson,8-0,2,2,2009-2010,1,7,2,10,10,18,3,17,Stamford Bridge,3,2
0,1,38730,0,,Avram Grant,Portsmouth,6,1,30,14,1,13,6,33,Sunday 9 May 2010,12,11,10,12,0,0,1,Diniyar Bilyaletdinov (90+4),David Moyes,Everton,5,0,0,0,0,0,Peter Walton,1-0,6,4,2009-2010,6,8,4,8,14,24,10,16,Goodison Park,0,0
0,0,25030,0,,Rafael Benitez,Liverpool,4,4,26,34,6,2,13,18,Sunday 9 May 2010,11,16,16,9,1,1,0,,Iain Dowie,Hull,0,3,0,0,0,0,Andre Marriner,0-0,3,2,2009-2010,13,4,3,3,19,20,16,7,The KC Stadium,0,1
0,2,75316,0,,Tony Pulis,Stoke,10,0,32,30,2,9,14,32,Sunday 9 May 2010,5,11,10,3,0,0,4,"Darren Fletcher (31),Ryan Giggs (38),Danny Higginbotham (54 OG),Park Ji-Sung (84)",Alex Ferguson,Man Utd,3,2,0,0,0,0,Mark Clattenburg,4-0,3,6,2009-2010,1,5,7,6,17,16,8,11,Old Trafford,0,2
1,1,34989,1,Shaun Wright-Phillips (21),Roberto Mancini,Man City,3,4,12,33,3,4,20,11,Sunday 9 May 2010,7,13,11,7,0,0,1,Luis Boa Morte (17),Gianfranco Zola,West Ham,3,1,0,0,0,0,Howard Webb,1-1,6,3,2009-2010,10,5,4,5,11,18,14,10,Boleyn Ground,0,2
1,1,28971,1,Kenwyne Jones (8),Steve Bruce,Sunderland,2,1,36,24,1,4,14,23,Sunday 9 May 2010,20,13,12,19,1,1,2,"Kevin Doyle (10 Pen),Adlène Guédioura (78)",Mick McCarthy,Wolves,4,1,0,1,2,0,Lee Mason,2-1,5,3,2009-2010,6,7,4,7,27,23,10,14,Molineux Stadium,0,1
1,0,20831,1,Matthew Etherington (83),Tony Pulis,Stoke,3,2,33,30,3,8,12,21,Wednesday 5 May 2010,6,7,7,7,0,0,0,,Roy Hodgson,Fulham,5,1,0,0,0,0,Peter Walton,0-1,3,1,2009-2010,3,7,2,3,25,31,5,10,Craven Cottage,3,1
0,0,47370,1,Peter Crouch (82),Harry Redknapp,Spurs,3,3,41,21,8,9,21,31,Wednesday 5 May 2010,20,13,12,20,5,1,0,,Roberto Mancini,Man City,3,6,0,0,0,0,Steve Bennett,0-1,4,4,2009-2010,6,7,4,3,22,23,10,10,Etihad Stadium,3,0
1,2,26138,1,Robin van Persie (13),Arsène Wenger,Arsenal,2,2,39,39,8,5,18,6,Monday 3 May 2010,16,20,18,13,1,1,2,"David Dunn (43),Christopher Samba (68)",Sam Allardyce,Blackburn,2,4,0,0,0,0,Martin Atkinson,2-1,4,2,2009-2010,2,3,3,6,29,19,5,9,Ewood Park,2,2
