assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
0,1,27022,0,,Ronald Koeman,Southampton,2,1,23,47,9,4,19,10,Saturday 2 January 2016,7,9,11,7,0,1,1,Alexander Tettey (76),Alex Neil,Norwich,2,2,0,0,1,0,Mark Clattenburg,1-0,0,4,2015-2016,5,7,4,1,20,21,9,8,Carrow Road,0,1
1,2,41535,1,Carles Gil (63),Rémi Garde,Aston Villa,3,0,22,33,3,3,18,19,Saturday 2 January 2016,13,8,10,14,0,1,3,"Micah Richards (30 OG),Jermain Defoe (72, 90+2)",Sam Allardyce,Sunderland,2,2,0,0,0,0,Craig Pawson,3-1,3,2,2015-2016,5,5,4,5,25,27,9,10,Stadium of Light,4,3
1,1,23218,1,Jonathan Walters (81),Mark Hughes,Stoke,6,5,21,16,6,4,15,19,Saturday 2 January 2016,15,7,8,16,2,0,2,"Stéphane Sessegnon (60),Jonny Evans (90+2)",Tony Pulis,West Brom,1,1,0,0,1,0,Lee Mason,2-1,3,2,2015-2016,2,6,3,5,22,24,5,11,The Hawthorns,1,1
0,2,34977,0,,Jürgen Klopp,Liverpool,3,11,19,54,9,3,24,10,Saturday 2 January 2016,8,11,11,11,0,1,2,"Michail Antonio (10),Andy Carroll (55)",Slaven Bilic,West Ham,3,1,0,0,0,0,Robert Madley,2-0,8,1,2015-2016,9,5,2,10,29,21,11,15,Boleyn Ground,1,1
1,0,45765,1,Christian Benteke (46),Jürgen Klopp,Liverpool,2,4,29,46,4,6,8,13,Wednesday 30 December 2015,16,8,8,15,2,0,0,,Sam Allardyce,Sunderland,0,1,0,0,0,0,Kevin Friend,0-1,3,5,2015-2016,7,3,6,3,32,37,13,6,Stadium of Light,3,1
0,0,32072,0,,Manuel Pellegrini,Man City,0,7,35,36,13,1,26,16,Tuesday 29 December 2015,8,11,12,8,0,0,0,,Claudio Ranieri,Leicester,1,2,0,0,0,0,Craig Pawson,0-0,4,5,2015-2016,9,7,5,4,27,28,14,11,King Power Stadium,3,1
0,2,59983,0,,Eddie Howe,Bournemouth,2,4,27,11,3,9,9,20,Monday 28 December 2015,8,7,8,9,0,0,2,"Gabriel Paulista (27),Mesut Özil (63)",Arsène Wenger,Arsenal,1,1,0,0,0,0,Roger East,2-0,4,3,2015-2016,3,4,3,6,18,14,6,10,Emirates Stadium,0,2
0,0,75275,0,,Guus Hiddink,Chelsea,5,0,29,10,3,5,7,25,Monday 28 December 2015,6,16,18,6,0,0,0,,Louis van Gaal,Man Utd,0,2,0,0,0,0,Martin Atkinson,0-0,2,3,2015-2016,5,5,3,2,19,18,8,7,Old Trafford,2,4
0,0,34977,1,Carl Jenkinson (13 OG),Ronald Koeman,Southampton,1,3,27,41,7,4,28,15,Monday 28 December 2015,12,6,6,14,0,1,2,"Michail Antonio (69),Andy Carroll (79)",Slaven Bilic,West Ham,2,1,0,0,0,0,Michael Oliver,2-1,2,3,2015-2016,8,7,3,6,33,24,11,13,Boleyn Ground,3,1
0,0,23714,0,,Alan Curtis,Swansea,2,2,39,14,4,7,10,33,Monday 28 December 2015,16,11,14,16,1,0,0,,Alan Pardew,Crystal Palace,1,4,0,0,0,0,Neil Swarbrick,0-0,2,3,2015-2016,0,6,3,2,24,32,3,8,Selhurst Park,2,3
2,3,39340,4,"Xherdan Shaqiri (16, 45),Joselu (80),Marko Arnautovic (90+1 Pen)",Mark Hughes,Stoke,6,2,31,17,2,6,7,17,Monday 28 December 2015,12,10,10,17,2,0,3,"Romelu Lukaku (22, 64),Gerard Deulofeu (71)",Roberto Martinez,Everton,5,2,1,0,0,0,Mark Clattenburg,3-4,0,1,2015-2016,1,6,5,3,15,20,6,9,Goodison Park,1,2
0,1,27071,0,,Rémi Garde,Aston Villa,1,1,30,23,7,3,18,14,Monday 28 December 2015,21,10,11,19,2,0,2,"Jonny Howson (24),Dieumerci Mbokani (87)",Alex Neil,Norwich,0,2,0,0,0,0,Graham Scott,2-0,2,3,2015-2016,2,4,3,4,25,10,5,8,Carrow Road,5,2
2,1,20730,2,"Erik Lamela (17),Son Heung-Min (89)",Mauricio Pochettino,Spurs,4,0,30,22,3,5,19,10,Monday 28 December 2015,13,11,13,14,0,0,1,Odion Ighalo (41),Enrique Sánchez Flores,Watford,1,2,0,0,0,1,Anthony Taylor,1-2,1,1,2015-2016,7,4,3,1,35,25,10,5,Vicarage Road,2,4
0,1,26313,0,,Steve McClaren,Newcastle,10,2,47,16,6,18,19,26,Monday 28 December 2015,13,7,9,13,1,0,1,Darren Fletcher (78),Tony Pulis,West Brom,1,2,0,0,0,0,Mike Jones,1-0,3,2,2015-2016,3,5,2,5,15,25,5,10,The Hawthorns,0,0
0,3,31669,0,,Arsène Wenger,Arsenal,4,0,20,22,4,3,18,8,Saturday 26 December 2015,9,10,16,8,0,0,4,"Cuco Martina (19),Shane Long (55, 90+2),Jose Fonte (69)",Ronald Koeman,Southampton,1,6,0,0,0,0,Jonathan Moss,4-0,1,5,2015-2016,3,5,5,5,25,21,8,10,St. Mary's Stadium,0,1
