assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
0,1,60082,1,Ricardo Fuller (31 Pen),Tony Pulis,Stoke,3,0,34,14,0,6,4,24,Sunday 24 May 2009,11,10,8,9,0,1,4,"James Beattie (10 OG),Robin van Persie (16 Pen, 41),Abou Diaby (18)",Arsène Wenger,Arsenal,1,0,1,1,0,0,Martin Atkinson,4-1,6,1,2008-2009,2,14,3,9,10,18,5,23,Emirates Stadium,0,1
0,0,42585,0,,Alan Shearer,Newcastle,4,1,31,56,3,5,15,29,Sunday 24 May 2009,10,9,9,9,0,1,1,Damien Duff (38 OG),Martin O'Neill,Aston Villa,0,3,0,0,1,0,Chris Foy,1-0,2,3,2008-2009,5,8,5,2,29,27,10,10,Villa Park,1,0
0,0,28389,0,,Tony Mowbray,West Brom,4,4,30,16,9,4,17,22,Sunday 24 May 2009,11,14,14,7,0,0,0,,Sam Allardyce,Blackburn,3,3,0,0,0,1,Michael Jones,0-0,1,2,2008-2009,11,5,2,1,19,20,13,6,Ewood Park,1,0
2,0,25514,2,"Leon Osman (45, 88)",David Moyes,Everton,4,3,20,28,2,2,15,12,Sunday 24 May 2009,12,16,16,12,1,2,0,,Roy Hodgson,Fulham,5,2,0,0,0,0,Mike Riley,0-2,3,8,2008-2009,5,7,10,4,23,23,15,11,Craven Cottage,0,0
1,0,24945,1,Darron Gibson (24),Alex Ferguson,Man Utd,1,2,55,29,3,8,15,20,Sunday 24 May 2009,12,17,16,8,1,0,0,,Phil Brown,Hull,0,3,0,0,0,0,Alan Wiley,0-1,8,3,2008-2009,7,4,4,8,33,42,11,12,The KC Stadium,1,2
1,2,44975,1,Robbie Keane (77),Harry Redknapp,Spurs,5,1,30,21,2,9,15,17,Sunday 24 May 2009,5,15,14,5,0,0,3,"Fernando Torres (31),Alan Hutton (64 OG),Yossi Benayoun (81)",Rafael Benitez,Liverpool,0,0,0,0,0,0,Peter Walton,3-1,1,3,2008-2009,3,11,5,3,21,25,8,14,Anfield,1,0
0,1,47202,0,,Gary Megson,Bolton,6,1,27,44,9,15,24,8,Sunday 24 May 2009,11,9,8,11,1,0,1,Felipe Caicedo (8),Mark Hughes,Man City,1,3,0,0,0,0,Mark Clattenburg,1-0,10,0,2008-2009,7,11,1,11,18,19,8,22,Etihad Stadium,0,0
1,1,42468,3,"Nicolas Anelka (47),Salomon Kalou (74),Ashley Cole (86)",Guus Hiddink,Chelsea,6,3,34,27,7,6,21,25,Sunday 24 May 2009,7,8,8,7,0,0,2,"Kieran Richardson (53),Kenwyne Jones (90)",Ricky Sbragia,Sunderland,0,3,0,0,0,0,Mark Halsey,2-3,2,7,2008-2009,6,2,10,4,18,20,16,6,Stadium of Light,1,1
0,2,33862,1,Gary O'Neil (50),Gareth Southgate,Middlesbrough,4,2,14,47,5,4,29,9,Sunday 24 May 2009,10,16,15,10,0,2,2,"Carlton Cole (33),Junior Stanislas (58)",Gianfranco Zola,West Ham,0,5,0,0,0,0,Howard Webb,2-1,3,4,2008-2009,11,7,5,5,25,24,16,12,Boleyn Ground,1,0
0,1,17773,0,,Paul Hart,Portsmouth,6,1,52,34,2,9,10,21,Sunday 24 May 2009,23,9,10,20,1,1,1,Hugo Rodallega (26),Steve Bruce,Wigan,1,1,0,0,0,0,Phil Dowd,1-0,5,1,2008-2009,7,9,1,7,15,19,8,16,DW Stadium,4,0
1,1,20388,1,Kenwyne Jones (59),Ricky Sbragia,Sunderland,2,3,28,50,6,5,25,18,Monday 18 May 2009,7,11,9,6,1,0,3,"John Utaka (60),Phil Bardsley (68 OG),Armand Traore (88)",Paul Hart,Portsmouth,1,0,0,0,0,0,Alan Wiley,3-1,0,6,2008-2009,14,5,8,2,14,20,22,7,Fratton Park,0,1
0,2,40810,0,,Sam Allardyce,Blackburn,6,3,27,36,4,2,16,25,Sunday 17 May 2009,6,7,7,5,0,0,2,"Florent Malouda (4),Nicolas Anelka (59)",Guus Hiddink,Chelsea,2,2,0,0,0,0,Rob Styles,2-0,5,3,2008-2009,4,9,3,8,16,12,7,17,Stamford Bridge,2,1
1,0,26138,2,"Steven Gerrard (28),Dirk Kuyt (63)",Rafael Benitez,Liverpool,5,4,41,37,5,11,17,25,Sunday 17 May 2009,4,14,14,4,1,2,0,,Tony Mowbray,West Brom,2,4,0,0,0,0,Martin Atkinson,0-2,4,6,2008-2009,7,5,8,4,15,19,15,9,The Hawthorns,0,2
0,0,25085,1,Craig Fagan (46),Phil Brown,Hull,3,3,45,81,7,5,35,16,Saturday 16 May 2009,9,15,14,9,0,2,1,Grétar Steinsson (26),Gary Megson,Bolton,4,2,0,0,0,0,Peter Walton,1-1,3,7,2008-2009,10,7,8,5,30,21,18,12,Macron Stadium,2,2
1,2,38501,1,Radoslav Kovac (24),Gianfranco Zola,West Ham,2,3,39,42,3,6,8,38,Saturday 16 May 2009,15,15,14,11,1,0,3,"Louis Saha (38 Pen, 76),Joseph Yobo (48)",David Moyes,Everton,4,1,0,1,1,0,Phil Dowd,3-1,4,3,2008-2009,3,10,4,7,11,17,7,17,Goodison Park,2,1
0,0,27621,1,John Carew (57),Martin O'Neill,Aston Villa,6,0,57,43,9,6,31,18,Saturday 16 May 2009,18,15,12,16,1,1,1,Tuncay (14),Gareth Southgate,Middlesbrough,3,3,0,0,0,0,Mike Riley,1-1,2,3,2008-2009,5,5,5,3,32,23,10,8,Riverside Stadium,2,0
