assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
1,1,41794,1,Steven Naismith (14),David Moyes,Everton,7,5,29,17,4,7,20,28,Sunday 19 May 2013,9,8,8,8,0,1,2,"Juan Mata (7),Fernando Torres (76)",Rafael Benitez,Chelsea,1,1,0,0,0,0,Anthony Taylor,2-1,4,6,2012-2013,8,10,7,6,17,21,15,16,Stamford Bridge,1,2
0,1,44792,0,,Harry Redknapp,QPR,13,4,42,10,0,14,4,24,Sunday 19 May 2013,4,7,7,3,0,1,1,Philippe Coutinho (23),Brendan Rodgers,Liverpool,1,2,0,0,0,0,Martin Atkinson,1-0,6,0,2012-2013,7,7,0,8,21,28,7,15,Anfield,3,1
3,2,47054,3,"Anthony Pilkington (26),Grant Holt (54),Jonny Howson (65)",Chris Hughton,Norwich,5,3,24,25,7,7,15,19,Sunday 19 May 2013,9,11,9,9,1,1,2,"Jack Rodwell (29, 59)",Brian Kidd,Man City,2,2,0,0,0,0,Mark Halsey,2-3,1,3,2012-2013,7,6,7,3,22,14,14,9,Etihad Stadium,0,1
0,0,52354,1,Laurent Koscielny (52),Arsène Wenger,Arsenal,2,2,18,24,4,4,9,11,Sunday 19 May 2013,10,18,17,10,0,1,0,,Alan Pardew,Newcastle,2,2,0,0,0,0,Howard Webb,0-1,1,1,2012-2013,6,4,2,1,17,20,8,5,St. James' Park,2,1
1,0,31539,1,Peter Crouch (47),Tony Pulis,Stoke,1,0,35,31,4,3,11,20,Sunday 19 May 2013,7,10,9,6,0,1,1,Rickie Lambert (57),Mauricio Pochettino,Southampton,2,3,0,0,0,0,Lee Probert,1-1,6,2,2012-2013,5,4,3,7,21,29,8,11,St. Mary's Stadium,2,0
2,0,20365,3,"Alexander Kacaniklic (22),Dimitar Berbatov (77),Urby Emanuelson (90+3)",Martin Jol,Fulham,6,1,44,5,0,8,5,38,Sunday 19 May 2013,10,12,11,10,0,0,0,,Michael Laudrup,Swansea,1,5,0,0,0,0,Lee Mason,0-3,10,2,2012-2013,3,10,5,10,9,19,8,20,Liberty Stadium,1,2
0,1,36063,0,,Paolo Di Canio,Sunderland,13,2,42,37,1,14,5,34,Sunday 19 May 2013,14,7,7,11,1,1,1,Gareth Bale (89),Andre Villas-Boas,Spurs,2,4,0,0,1,0,Andre Marriner,1-0,10,3,2012-2013,3,7,3,14,26,31,6,21,White Hart Lane,2,1
4,4,26438,5,"Shinji Kagawa (6),Jonas Olsson (9 OG),Alexander Buttner (30),Robin van Persie (53),Javier Hernández (63)",Alex Ferguson,Man Utd,5,5,20,15,5,3,28,19,Sunday 19 May 2013,7,12,12,6,0,0,5,"James Morrison (40),Romelu Lukaku (50, 80, 86),Youssouf Mulumbu (81)",Steve Clarke,West Brom,2,4,0,0,0,0,Michael Oliver,5-5,1,2,2012-2013,5,9,6,7,19,14,11,16,The Hawthorns,1,0
2,4,34973,2,"Garath McCleary (53),Adam Le Fondre (55)",Nigel Adkins,Reading,2,2,26,32,4,6,22,18,Sunday 19 May 2013,10,13,13,9,1,0,4,"Kevin Nolan (23, 79, 87),Ricardo Vaz Te (34)",Sam Allardyce,West Ham,0,5,0,0,0,0,Mike Dean,4-2,7,4,2012-2013,9,9,6,10,22,31,15,19,Boleyn Ground,1,2
2,1,23001,2,"Darren Bent (5),Ron Vlaar (60)",Paul Lambert,Aston Villa,5,3,13,22,2,4,11,13,Sunday 19 May 2013,13,11,10,12,1,1,2,"Emmerson Boyce (20),Nathan Baker (45+3 OG)",Roberto Martinez,Wigan,4,2,0,0,0,0,Neil Swarbrick,2-2,2,1,2012-2013,2,7,4,4,27,11,6,11,DW Stadium,1,2
2,0,22859,2,"Sergio Agüero (40),Edin Dzeko (88)",Brian Kidd,Man City,2,11,21,26,10,4,16,21,Tuesday 14 May 2013,8,7,7,8,1,0,0,,Nigel Adkins,Reading,2,1,0,0,0,0,Martin Atkinson,0-2,6,9,2012-2013,8,3,11,7,26,17,19,10,Madejski Stadium,1,0
0,4,60068,1,Shaun Maloney (45),Roberto Martinez,Wigan,4,4,18,14,4,7,13,18,Tuesday 14 May 2013,11,12,10,11,0,2,4,"Lukas Podolski (11, 68),Theo Walcott (63),Aaron Ramsey (71)",Arsène Wenger,Arsenal,5,2,0,0,0,0,Mike Dean,4-1,6,1,2012-2013,5,7,2,10,32,23,7,17,Emirates Stadium,2,0
1,1,75572,1,Michu (49),Michael Laudrup,Swansea,2,2,29,20,5,7,13,18,Sunday 12 May 2013,7,5,4,7,0,2,2,"Javier Hernández (39),Rio Ferdinand (87)",Alex Ferguson,Man Utd,0,2,0,0,0,0,Jonathan Moss,2-1,4,1,2012-2013,5,7,2,6,13,13,7,13,Old Trafford,0,0
0,2,39475,0,,Sam Allardyce,West Ham,8,0,31,24,1,7,14,21,Sunday 12 May 2013,12,7,7,11,1,1,2,"Kevin Mirallas (6, 60)",David Moyes,Everton,0,3,0,0,0,0,Phil Dowd,2-0,5,2,2012-2013,5,11,2,7,15,28,7,18,Goodison Park,2,1
2,1,25640,3,"Daniel Sturridge (36, 62, 85)",Brendan Rodgers,Liverpool,3,6,24,26,8,7,15,14,Sunday 12 May 2013,11,1,1,10,0,0,1,Dimitar Berbatov (33),Martin Jol,Fulham,2,3,0,0,0,0,Mark Halsey,1-3,4,4,2012-2013,7,2,7,5,15,23,14,7,Craven Cottage,1,0
0,1,26837,0,,Steve Clarke,West Brom,1,1,36,13,2,8,19,21,Sunday 12 May 2013,7,11,11,6,0,0,4,"Robert Snodgrass (25),Grant Holt (62),Gareth McAuley (65 OG),Jonny Howson (90)",Chris Hughton,Norwich,2,2,0,0,0,0,Howard Webb,4-0,4,4,2012-2013,2,4,5,7,21,14,7,11,Carrow Road,1,2
0,0,17278,2,"Hatem Ben Arfa (18 Pen),Yoan Gouffran (35)",Alan Pardew,Newcastle,3,4,27,18,2,2,3,10,Sunday 12 May 2013,10,9,8,8,3,0,1,Loïc Remy (11 Pen),Harry Redknapp,QPR,4,7,1,1,1,0,Lee Probert,1-2,1,1,2012-2013,3,5,4,2,26,35,7,7,Loftus Road Stadium,2,1
0,1,41988,1,Jason Puncheon (76),Mauricio Pochettino,Southampton,2,6,32,47,10,3,23,24,Sunday 12 May 2013,10,9,9,10,0,0,1,Phil Bardsley (68),Paolo Di Canio,Sunderland,1,1,0,0,0,0,Mike Dean,1-1,1,7,2012-2013,3,1,8,2,39,32,11,3,Stadium of Light,2,0
1,1,27531,2,"Clint Dempsey (20),Emmanuel Adebayor (83)",Andre Villas-Boas,Spurs,2,10,53,31,11,2,16,21,Sunday 12 May 2013,6,12,9,6,1,1,1,Steven N'Zonzi (3),Tony Pulis,Stoke,4,0,0,0,0,1,Kevin Friend,1-2,0,5,2012-2013,8,3,7,1,25,20,15,4,Britannia Stadium,1,3
2,1,42084,2,"Frank Lampard (61, 88)",Rafael Benitez,Chelsea,7,4,30,32,7,6,18,24,Saturday 11 May 2013,8,13,10,8,0,0,1,Christian Benteke (14),Paul Lambert,Aston Villa,2,4,0,0,1,1,Lee Mason,1-2,1,3,2012-2013,3,6,7,2,26,25,10,8,Villa Park,3,2
2,2,41581,2,"Emmanuel Adebayor (26),Gylfi Sigurdsson (80)",Andre Villas-Boas,Spurs,4,2,44,22,5,6,10,19,Wednesday 8 May 2013,17,6,5,14,1,0,2,"Oscar (11),Ramires (39)",Rafael Benitez,Chelsea,3,3,0,0,0,0,Mike Dean,2-2,3,3,2012-2013,7,6,5,5,25,21,12,11,Stamford Bridge,2,1
0,1,46158,0,,Steve Clarke,West Brom,9,5,26,39,8,6,17,23,Tuesday 7 May 2013,10,10,8,9,1,0,1,Edin Dzeko (35),Roberto Mancini,Man City,1,0,0,0,0,0,Phil Dowd,1-0,6,7,2012-2013,8,8,7,7,28,22,15,15,Etihad Stadium,1,2
2,1,18550,3,"Angel Rangel (50),Itay Shechter (59),Dwight Tiendalli (76)",Michael Laudrup,Swansea,4,4,27,11,4,4,11,24,Tuesday 7 May 2013,13,15,14,12,0,0,2,"Roger Espinoza (45+1),James McCarthy (53)",Roberto Martinez,Wigan,1,1,0,0,0,0,Kevin Friend,2-3,6,2,2012-2013,4,4,4,8,13,28,8,12,DW Stadium,2,2
0,0,38130,1,Jonathan Walters (9),Tony Pulis,Stoke,5,4,23,23,6,5,10,19,Monday 6 May 2013,11,8,7,9,0,0,1,John O'Shea (63),Paolo Di Canio,Sunderland,3,0,0,0,0,1,Lee Mason,1-1,1,2,2012-2013,5,7,3,3,24,31,8,10,Stadium of Light,2,2
1,0,75500,1,"Juan Mata (87, 87)",Rafael Benitez,Chelsea,1,4,18,32,7,2,16,17,Sunday 5 May 2013,10,14,12,10,1,0,0,,Alex Ferguson,Man Utd,2,5,0,0,0,1,Howard Webb,0-1,2,2,2012-2013,9,6,3,2,23,9,12,8,Old Trafford,1,2
0,0,44991,0,,David Moyes,Everton,3,2,31,19,5,3,19,16,Sunday 5 May 2013,11,10,9,10,1,0,0,,Brendan Rodgers,Liverpool,1,3,0,0,0,0,Michael Oliver,0-0,2,2,2012-2013,7,8,2,3,30,34,9,11,Anfield,2,1
1,0,18178,1,Theo Walcott (1),Arsène Wenger,Arsenal,3,5,25,31,7,3,11,17,Saturday 4 May 2013,9,8,7,8,3,0,0,,Harry Redknapp,QPR,5,5,0,0,0,0,Jonathan Moss,0-1,4,6,2012-2013,0,6,7,4,17,11,7,10,Loftus Road Stadium,1,2
