assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
0,1,42785,0,,Kenny Dalglish,Liverpool,5,3,11,21,5,4,8,10,Sunday 22 May 2011,11,14,13,10,0,0,1,Stewart Downing (33),Gerard Houllier,Aston Villa,5,2,0,0,0,0,Lee Probert,1-0,2,2,2010-2011,6,1,3,3,27,29,9,4,Villa Park,2,2
1,0,26285,2,"Joleon Lescott (43),Edin Dzeko (62)",Roberto Mancini,Man City,5,2,51,22,4,6,13,21,Sunday 22 May 2011,11,13,13,9,0,1,0,,Owen Coyle,Bolton,1,0,0,0,0,1,Chris Foy,0-2,3,5,2010-2011,8,8,7,2,24,30,15,10,Macron Stadium,1,1
0,1,38712,0,,Carlo Ancelotti,Chelsea,2,5,22,32,5,6,25,18,Sunday 22 May 2011,16,12,12,14,0,0,1,Jermaine Beckford (74),David Moyes,Everton,5,2,0,0,0,1,Peter Walton,1-0,1,5,2010-2011,9,8,5,2,20,7,14,10,Goodison Park,2,2
2,2,25674,2,"Robin van Persie (29),Theo Walcott (89)",Arsène Wenger,Arsenal,1,1,30,27,3,5,20,17,Sunday 22 May 2011,7,14,12,6,0,0,2,"Steve Sidwell (26),Bobby Zamora (56)",Mark Hughes,Fulham,2,4,0,0,0,1,Martin Atkinson,2-2,1,3,2010-2011,7,5,5,3,17,17,12,8,Craven Cottage,1,2
1,2,75400,2,"Charlie Adam (40),Gary Taylor-Fletcher (57)",Ian Holloway,Blackpool,4,5,25,20,8,8,21,22,Sunday 22 May 2011,6,9,7,6,0,0,4,"Park Ji-Sung (21),Anderson (62),Ian Evatt (74 OG),Michael Owen (81)",Alex Ferguson,Man Utd,1,3,0,0,0,0,Mike Dean,4-2,4,2,2010-2011,6,9,5,7,17,16,11,16,Old Trafford,1,2
3,2,51678,3,"Somen Tchoyi (62, 71, 90)",Roy Hodgson,West Brom,2,2,21,13,6,7,8,25,Sunday 22 May 2011,9,3,3,8,1,0,3,"Steven Taylor (16),Peter Løvenkrands (39),Jonas Olsson (47 OG)",Alan Pardew,Newcastle,5,3,0,0,0,0,Mark Halsey,3-3,5,1,2010-2011,8,5,7,8,24,18,15,13,St. James' Park,0,0
1,0,27566,1,Hugo Rodallega (78),Roberto Martinez,Wigan,1,6,40,20,3,5,6,15,Sunday 22 May 2011,10,10,10,9,1,0,0,,Tony Pulis,Stoke,3,2,0,0,0,0,Andre Marriner,0-1,5,3,2010-2011,2,6,4,6,27,38,6,12,Britannia Stadium,4,1
0,1,36119,1,Craig Gardner (79),Alex McLeish,Birmingham,10,1,19,37,5,7,10,21,Sunday 22 May 2011,16,8,7,16,1,3,2,"Roman Pavlyuchenko (49, 90+3)",Harry Redknapp,Spurs,1,2,0,0,0,0,Mark Clattenburg,2-1,5,1,2010-2011,4,6,2,7,19,26,6,13,White Hart Lane,4,0
3,0,32792,3,"Boudewijn Zenden (17),Stéphane Sessegnon (51),Cristian Riveros (90+3)",Steve Bruce,Sunderland,4,3,30,17,6,4,10,24,Sunday 22 May 2011,8,9,8,4,1,0,0,,Kevin Keen,West Ham,0,4,0,0,0,0,Anthony Taylor,0-3,9,9,2010-2011,5,6,12,9,20,24,17,15,Boleyn Ground,2,0
2,2,29009,3,"Jason Roberts (22),Brett Emerton (38),Junior Hoilett (45+1)",Steve Kean,Blackburn,3,1,64,26,3,8,11,34,Sunday 22 May 2011,10,13,11,10,0,0,2,"Jamie O'Hara (73),Stephen Hunt (87)",Mick McCarthy,Wolves,2,2,0,0,0,0,Howard Webb,2-3,2,6,2010-2011,5,8,9,4,22,40,14,12,Molineux Stadium,1,3
