assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
1,2,40742,1,Yakubu (60),Steve Kean,Blackburn,2,2,39,9,2,8,7,27,Sunday 13 May 2012,4,14,11,4,0,1,2,"John Terry (31),Raul Meireles (34)",Roberto Di Matteo,Chelsea,4,3,0,0,0,0,Lee Mason,2-1,3,3,2011-2012,4,13,4,4,16,18,8,17,Stamford Bridge,0,1
0,2,39517,1,Tony Hibbert (73 OG),Alan Pardew,Newcastle,1,3,16,26,3,4,9,12,Sunday 13 May 2012,16,18,17,15,0,3,3,"Steven Pienaar (16),Nikica Jelavic (27),John Heitinga (65)",David Moyes,Everton,1,3,0,0,0,1,Andre Marriner,3-1,7,3,2011-2012,5,6,3,11,18,17,8,17,Goodison Park,2,2
1,3,48000,2,"Djibril Cissé (48),Jamie Mackie (66)",Mark Hughes,QPR,19,0,57,5,0,19,2,52,Sunday 13 May 2012,7,4,4,3,1,0,3,"Pablo Zabaleta (39),Sergio Agüero (90+4),Edin Dzeko (90+2)",Roberto Mancini,Man City,1,1,0,0,1,0,Mike Dean,3-2,12,1,2011-2012,0,10,3,15,17,30,3,25,Etihad Stadium,1,1
0,1,26803,0,,Alex McLeish,Aston Villa,3,0,18,34,6,8,15,21,Sunday 13 May 2012,11,7,8,9,1,1,2,"Grant Holt (9),Simeon Jackson (22)",Paul Lambert,Norwich,3,3,0,0,0,0,Martin Atkinson,2-0,8,5,2011-2012,5,12,5,8,23,21,10,20,Carrow Road,2,1
1,0,27789,2,"Mark Davies (39),Kevin Davies (45)",Owen Coyle,Bolton,4,6,45,68,9,5,21,16,Sunday 13 May 2012,5,10,6,4,0,0,2,"Jonathan Walters (12, 77 Pen)",Tony Pulis,Stoke,2,2,0,1,0,0,Chris Foy,2-2,5,2,2011-2012,10,6,4,7,38,43,14,13,Britannia Stadium,1,1
1,0,46452,1,Wayne Rooney (20),Alex Ferguson,Man Utd,3,4,24,27,9,1,16,12,Sunday 13 May 2012,11,14,9,11,0,0,0,,Martin O'Neill,Sunderland,0,0,0,0,0,0,Howard Webb,0-1,2,6,2011-2012,9,2,7,2,19,20,16,4,Stadium of Light,3,3
0,1,20605,0,,Kenny Dalglish,Liverpool,5,3,13,20,5,6,16,12,Sunday 13 May 2012,6,7,7,5,0,2,1,Danny Graham (86),Brendan Rodgers,Swansea,0,1,0,0,0,0,Mark Halsey,1-0,3,5,2011-2012,5,4,5,4,25,29,10,8,Liberty Stadium,1,1
0,1,36256,0,,Martin Jol,Fulham,4,2,14,22,3,8,11,11,Sunday 13 May 2012,12,9,9,10,1,0,2,"Emmanuel Adebayor (2),Jermain Defoe (63)",Harry Redknapp,Spurs,3,0,0,0,0,0,Phil Dowd,2-0,4,5,2011-2012,4,7,5,6,12,16,9,13,White Hart Lane,2,0
1,2,26358,3,"Yossi Benayoun (4),André Santos (30),Laurent Koscielny (55)",Arsène Wenger,Arsenal,5,6,24,18,5,9,19,16,Sunday 13 May 2012,11,12,10,11,1,0,2,"Shane Long (11),Graham Dorrans (15)",Roy Hodgson,West Brom,3,4,0,0,0,0,Michael Jones,2-3,3,0,2011-2012,4,3,3,5,13,21,7,8,The Hawthorns,1,0
1,2,21986,2,"Matthew Jarvis (9),Steven Fletcher (86)",Terry Connor,Wolves,2,3,27,14,2,9,17,13,Sunday 13 May 2012,9,15,15,9,0,2,3,"Franco Di Santo (12),Emmerson Boyce (14, 79)",Roberto Martinez,Wigan,0,2,0,0,0,0,Michael Oliver,3-2,5,2,2011-2012,2,4,4,8,29,24,6,12,DW Stadium,2,1
