assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
1,3,59971,1,Gareth McAuley (57),Tony Pulis,West Brom,7,3,14,13,3,7,10,14,Sunday 24 May 2015,7,6,7,9,2,0,4,"Theo Walcott (4, 14, 37),Jack Wilshere (17)",Arsène Wenger,Arsenal,3,1,0,0,0,0,Robert Madley,4-1,9,4,2014-2015,6,4,5,13,13,4,11,17,Emirates Stadium,0,1
1,0,40792,1,Danny Ings (6),Sean Dyche,Burnley,2,2,32,32,2,7,7,25,Sunday 24 May 2015,6,11,11,7,0,1,0,,Tim Sherwood,Aston Villa,1,1,0,0,0,0,Mike Jones,0-1,5,2,2014-2015,1,10,3,5,25,25,4,15,Villa Park,2,1
1,2,41620,1,Steven Fletcher (26),Dick Advocaat,Sunderland,7,1,23,9,3,11,7,24,Sunday 24 May 2015,8,12,9,8,0,1,3,"Diego Costa (37 Pen),Loïc Remy (70, 88)",José Mourinho,Chelsea,1,1,0,1,0,0,Lee Mason,3-1,5,7,2014-2015,7,7,9,8,11,21,16,15,Stamford Bridge,1,2
0,1,25076,0,,Garry Monk,Swansea,4,2,33,23,3,7,15,24,Sunday 24 May 2015,13,22,24,13,0,1,1,Marouane Chamakh (57),Alan Pardew,Crystal Palace,0,2,0,0,0,0,Craig Pawson,1-0,6,2,2014-2015,1,2,2,7,28,29,3,9,Selhurst Park,0,3
1,0,39365,1,Harry Kane (24),Mauricio Pochettino,Spurs,2,8,21,20,5,3,13,15,Sunday 24 May 2015,8,12,14,12,1,1,0,,Roberto Martinez,Everton,4,2,0,0,0,0,Jonathan Moss,0-1,1,2,2014-2015,4,6,3,1,21,19,7,7,Goodison Park,2,1
0,0,24745,0,,Louis van Gaal,Man Utd,4,3,39,9,1,8,7,27,Sunday 24 May 2015,15,12,16,14,0,0,0,,Steve Bruce,Hull,0,6,0,0,1,0,Lee Probert,0-0,6,1,2014-2015,3,5,1,6,17,18,4,11,The KC Stadium,2,2
1,2,31467,1,Charlie Austin (57),Chris Ramsey,QPR,2,7,25,25,6,5,17,24,Sunday 24 May 2015,6,7,9,7,1,1,5,"Jamie Vardy (16),Marc Albrighton (43),Leonardo Ulloa (51),Esteban Cambiasso (52),Andrej Kramaric (86)",Nigel Pearson,Leicester,1,3,0,0,0,0,Michael Oliver,5-1,2,1,2014-2015,9,13,2,7,21,20,11,20,King Power Stadium,0,0
0,2,45919,0,,Ronald Koeman,Southampton,2,3,16,29,4,8,19,13,Sunday 24 May 2015,8,13,13,15,0,1,2,"Frank Lampard (31),Sergio Agüero (88)",Manuel Pellegrini,Man City,7,0,0,0,0,0,Chris Foy,2-0,5,4,2014-2015,6,7,4,6,18,16,10,13,Etihad Stadium,1,1
0,2,52094,0,,Sam Allardyce,West Ham,4,1,31,15,3,2,15,26,Sunday 24 May 2015,9,9,9,12,0,0,2,"Moussa Sissoko (54),Jonás Gutiérrez (85)",John Carver,Newcastle,3,1,0,0,0,0,Martin Atkinson,2-0,2,1,2014-2015,2,9,1,4,23,25,3,13,St. James' Park,1,2
1,3,27602,1,Steven Gerrard (70),Brendan Rodgers,Liverpool,3,4,17,23,9,3,12,9,Sunday 24 May 2015,4,13,13,5,0,0,6,"Mame Biram Diouf (22, 26),Jonathan Walters (30),Charlie Adam (41),Steven N'Zonzi (45),Peter Crouch (86)",Mark Hughes,Stoke,1,1,0,0,0,0,Anthony Taylor,6-1,3,3,2014-2015,5,3,4,9,21,21,9,12,Britannia Stadium,2,4
