assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
1,0,27716,2,"André Schürrle (72),Fernando Torres (75)",José Mourinho,Chelsea,2,8,18,30,8,3,19,15,Sunday 11 May 2014,9,7,7,11,0,0,1,César Azpilicueta (15 OG),Ole Gunnar Solskjaer,Cardiff,2,1,0,0,0,0,Michael Oliver,1-2,3,4,2013-2014,13,4,8,3,24,19,21,7,Cardiff City Stadium,2,1
1,2,24447,2,"Dwight Gayle (28, 83)",Tony Pulis,Crystal Palace,3,4,34,33,4,6,9,28,Sunday 11 May 2014,15,11,10,14,1,1,2,"Cauley Woodrow (61),Chris David (90+4)",Felix Magath,Fulham,1,1,0,0,0,0,Kevin Friend,2-2,3,4,2013-2014,4,7,6,5,17,22,10,12,Craven Cottage,1,3
2,0,24848,2,"James McCarthy (9),Romelu Lukaku (46)",Roberto Martinez,Everton,4,2,20,26,4,6,7,17,Sunday 11 May 2014,8,8,10,9,1,0,0,,Steve Bruce,Hull,2,2,0,0,0,0,Howard Webb,0-2,3,2,2013-2014,5,5,4,3,17,11,9,8,The KC Stadium,1,0
0,2,44724,1,Martin Skrtel (20 OG),Alan Pardew,Newcastle,3,3,26,25,2,6,10,16,Sunday 11 May 2014,16,8,11,16,1,0,2,"Daniel Agger (63),Daniel Sturridge (65)",Brendan Rodgers,Liverpool,2,3,0,0,2,0,Phil Dowd,2-1,3,2,2013-2014,3,3,2,6,18,14,5,9,Anfield,3,1
0,1,47300,0,,Sam Allardyce,West Ham,11,0,34,15,1,12,16,20,Sunday 11 May 2014,9,7,8,10,0,0,2,"Samir Nasri (39),Vincent Kompany (49)",Manuel Pellegrini,Man City,1,2,0,0,0,0,Martin Atkinson,2-0,5,0,2013-2014,3,10,0,7,17,17,3,17,Etihad Stadium,2,2
1,0,26848,2,"Aaron Ramsey (53),Carl Jenkinson (62)",Arsène Wenger,Arsenal,1,2,23,20,4,4,13,10,Sunday 11 May 2014,5,6,8,6,0,0,0,,Neil Adams,Norwich,1,3,0,0,0,0,Lee Mason,0-2,5,6,2013-2014,4,4,8,5,23,19,12,9,Carrow Road,0,1
0,1,31372,1,Juan Mata (54),Ryan Giggs,Man Utd,4,1,35,16,2,6,14,18,Sunday 11 May 2014,5,16,14,10,0,0,1,Rickie Lambert (28),Mauricio Pochettino,Southampton,6,0,0,0,0,0,Mike Dean,1-1,5,1,2013-2014,6,5,2,6,21,21,8,11,St. Mary's Stadium,2,3
2,1,45580,3,"Nathan Dyer (7),Marvin Emnes (14),Wilfried Bony (54)",Garry Monk,Swansea,4,2,34,24,3,6,11,19,Sunday 11 May 2014,15,14,13,14,0,0,1,Fabio Borini (50),Gus Poyet,Sunderland,0,0,0,0,0,0,Chris Foy,1-3,3,1,2013-2014,1,12,4,4,21,28,5,16,Stadium of Light,3,2
0,0,35826,0,,Paul Lambert,Aston Villa,2,1,21,19,1,5,15,16,Sunday 11 May 2014,11,11,17,10,1,0,3,"Paulinho (14),Nathan Baker (35 OG),Emmanuel Adebayor (38 Pen)",Tim Sherwood,Spurs,0,6,0,1,0,0,Jonathan Moss,3-0,5,1,2013-2014,2,4,2,6,25,18,4,10,White Hart Lane,0,1
1,1,26613,2,"Gareth McAuley (22 OG),Charlie Adam (87)",Mark Hughes,Stoke,5,3,27,17,6,11,6,14,Sunday 11 May 2014,7,4,5,10,0,1,1,Stéphane Sessegnon (56),Pepe Mel,West Brom,3,1,0,0,0,0,Lee Probert,1-2,4,3,2013-2014,7,7,4,6,18,16,11,13,The Hawthorns,0,0
